Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,15732.500000,15832.799805,15644.089844,15832.799805,15832.799805,4412130000
2022-01-04,15852.139648,15852.139648,15512.410156,15622.719727,15622.719727,5109270000
2022-01-05,15547.160156,15586.299805,15095.179688,15100.169922,15100.169922,5011990000
2022-01-06,15024.150391,15198.450195,14914.870117,15080.860352,15080.860352,4774740000
2022-01-07,15095.719727,15171.019531,14877.629883,14935.900391,14935.900391,4229270000
2022-01-10,14751.780273,14953.849609,14530.230469,14942.830078,14942.830078,5303230000
2022-01-11,14919.259766,15158.709961,14837.629883,15153.450195,15153.450195,4378660000
2022-01-12,15263.099609,15319.030273,15117.290039,15188.389648,15188.389648,4321180000
2022-01-13,15245.040039,15259.709961,14782.240234,14806.809570,14806.809570,4283070000
2022-01-14,14708.019531,14897.679688,14689.429688,14893.750000,14893.750000,4345780000
2022-01-18,14681.830078,14740.540039,14482.940430,14506.900391,14506.900391,5027990000
2022-01-19,14582.219727,14658.889648,14331.650391,14340.259766,14340.259766,4639990000
2022-01-20,14462.849609,14642.030273,14140.780273,14154.019531,14154.019531,5078450000
2022-01-21,14046.219727,14171.719727,13764.240234,13768.919922,13768.919922,5845830000
2022-01-24,13481.500000,13876.610352,13094.650391,13855.129883,13855.129883,6982960000
2022-01-25,13610.870117,13781.620117,13414.139648,13539.290039,13539.290039,4981070000
2022-01-26,13871.769531,14002.650391,13392.190430,13542.120117,13542.120117,5734390000
2022-01-27,13710.990234,13765.910156,13322.660156,13352.780273,13352.780273,5155970000
2022-01-28,13436.709961,13771.910156,13236.559570,13770.570313,13770.570313,4955960000
2022-01-31,13812.190430,14242.900391,13767.709961,14239.879883,14239.879883,5111460000
2022-02-01,14277.429688,14358.690430,14070.769531,14346.000000,14346.000000,4650460000
2022-02-02,14494.469727,14504.820313,14264.650391,14417.549805,14417.549805,4647630000
2022-02-03,14045.830078,14207.889648,13851.750000,13878.820313,13878.820313,4306490000
